longitude,latitude,depth,vs
-120.2,41.8,10,3.4282
-120.2,41.8,11,3.489
-120.2,41.8,12,3.5232
-120.2,41.8,13,3.5465
-120.2,41.8,14,3.558
-120.2,41.8,15,3.5329
-120.2,41.8,16,3.5153
-120.2,41.8,17,3.5135
-120.2,41.8,18,3.4988
-120.2,41.8,19,3.473
-120.2,41.8,20,3.458
-120.2,41.8,21,3.4502
-120.2,41.8,22,3.4464
-120.2,41.8,23,3.452
-120.2,41.8,24,3.4694
-120.2,41.8,25,3.4976
-120.2,41.8,26,3.5364
-120.2,41.8,27,3.5883
-120.2,41.8,28,3.6545
-120.2,41.8,29,3.7341
-120.2,41.8,30,3.8228
-120.2,41.8,31,3.9115
-120.2,41.8,32,3.992
-120.2,41.8,33,4.0564
-120.2,41.8,34,4.1003
-120.2,41.8,35,4.1222
-120.2,41.8,36,4.1261
-120.2,41.8,37,4.1169
-120.2,41.8,38,4.1031
-120.2,41.8,39,4.0911
-120.2,41.8,40,4.0871
-120.2,42.0,-2,2.7169
-120.2,42.0,-1,2.7488
-120.2,42.0,0,2.8197
-120.2,42.0,1,2.9353
-120.2,42.0,2,3.0589
-120.2,42.0,3,3.1263
-120.2,42.0,4,3.1355
-120.2,42.0,5,3.1708
-120.2,42.0,6,3.2804
-120.2,42.0,7,3.36
-120.2,42.0,8,3.3726
-120.2,42.0,9,3.402
-120.2,42.0,10,3.4562
-120.2,42.0,11,3.504
-120.2,42.0,12,3.5496
-120.2,42.0,13,3.5412
-120.2,42.0,14,3.5233
-120.2,42.0,15,3.5051
-120.2,42.0,16,3.4697
-120.2,42.0,17,3.4426
-120.2,42.0,18,3.435
-120.2,42.0,19,3.4214
-120.2,42.0,20,3.4117
-120.2,42.0,21,3.4137
-120.2,42.0,22,3.4256
-120.2,42.0,23,3.4469
-120.2,42.0,24,3.4783
-120.2,42.0,25,3.5223
-120.2,42.0,26,3.5814
-120.2,42.0,27,3.6551
-120.2,42.0,28,3.7395
-120.2,42.0,29,3.8311
-120.2,42.0,30,3.9195
-120.2,42.0,31,3.997
-120.2,42.0,32,4.057
-120.2,42.0,33,4.0964
-120.2,42.0,34,4.1159
-120.2,42.0,35,4.1197
-120.2,42.0,36,4.1148
-120.2,42.0,37,4.107
-120.2,42.0,38,4.1035
-120.2,42.0,39,4.1068
-120.2,42.0,40,4.1186
-120.2,42.2,-2,2.731
-120.2,42.2,-1,2.7589
-120.2,42.2,0,2.8245
-120.2,42.2,1,2.9333
-120.2,42.2,2,3.0361
-120.2,42.2,3,3.0827
-120.2,42.2,4,3.1032
-120.2,42.2,5,3.1699
-120.2,42.2,6,3.2721
-120.2,42.2,7,3.3347
-120.2,42.2,8,3.3437
-120.2,42.2,9,3.3856
-120.2,42.2,10,3.4282
-120.2,42.2,11,3.4908
-120.2,42.2,12,3.5411
-120.2,42.2,13,3.5155
-120.2,42.2,14,3.4792
-120.2,42.2,15,3.4481
-120.2,42.2,16,3.3911
-120.2,42.2,17,3.3536
-120.2,42.2,18,3.3696
-120.2,42.2,19,3.4025
-120.2,42.2,20,3.4205
-120.2,42.2,21,3.4414
-120.2,42.2,22,3.4727
-120.2,42.2,23,3.5101
-120.2,42.2,24,3.5543
-120.2,42.2,25,3.6084
-120.2,42.2,26,3.6742
-120.2,42.2,27,3.7499
-120.2,42.2,28,3.8293
-120.2,42.2,29,3.9045
-120.2,42.2,30,3.9702
-120.2,42.2,31,4.0217
-120.2,42.2,32,4.0572
-120.2,42.2,33,4.0788
-120.2,42.2,34,4.0893
-120.2,42.2,35,4.0927
-120.2,42.2,36,4.0941
-120.2,42.2,37,4.0963
-120.2,42.2,38,4.1022
-120.2,42.2,39,4.1112
-120.2,42.2,40,4.1232
-120.2,42.6,-2,1.6002
-120.2,42.6,-1,1.6548
-120.2,42.6,0,1.9831
-120.2,42.6,1,2.4735
-120.2,42.6,2,2.9149
-120.2,42.6,3,3.227
-120.2,42.6,4,3.4287
-120.2,42.6,5,3.5493
-120.2,42.6,6,3.6259
-120.2,42.6,7,3.6658
-120.2,42.6,8,3.707
-120.2,42.6,9,3.7791
-120.2,42.6,10,3.8451
-120.2,42.6,11,3.8926
-120.2,42.6,12,3.921
-120.2,42.6,13,3.9097
-120.2,42.6,14,3.8732
-120.2,42.6,15,3.8555
