longitude,latitude,depth,vs
-120.2,41.8,66,4.0773
-120.2,41.8,67,4.0791
-120.2,41.8,68,4.0812
-120.2,41.8,69,4.0819
-120.2,41.8,70,4.08
-120.2,41.8,71,4.0754
-120.2,41.8,72,4.0667
-120.2,41.8,73,4.0553
-120.2,41.8,74,4.04
-120.2,41.8,75,4.0209
-120.2,41.8,76,4.0011
-120.2,41.8,77,3.9858
-120.2,41.8,78,3.9755
-120.2,41.8,79,3.9694
-120.2,41.8,80,3.9673
-120.2,42.0,41,4.1356
-120.2,42.0,42,4.1561
-120.2,42.0,43,4.1768
-120.2,42.0,44,4.1969
-120.2,42.0,45,4.2127
-120.2,42.0,46,4.2261
-120.2,42.0,47,4.2399
-120.2,42.0,48,4.2558
-120.2,42.0,49,4.2744
-120.2,42.0,50,4.2957
-120.2,42.0,51,4.3164
-120.2,42.0,52,4.3339
-120.2,42.0,53,4.3446
-120.2,42.0,54,4.349
-120.2,42.0,55,4.3464
-120.2,42.0,56,4.3358
-120.2,42.0,57,4.3176
-120.2,42.0,58,4.2952
-120.2,42.0,59,4.2713
-120.2,42.0,60,4.2486
-120.2,42.0,61,4.2293
-120.2,42.0,62,4.2167
-120.2,42.0,63,4.2077
-120.2,42.0,64,4.1973
-120.2,42.0,65,4.1826
-120.2,42.0,66,4.1616
-120.2,42.0,67,4.1315
-120.2,42.0,68,4.0946
-120.2,42.0,69,4.0554
-120.2,42.0,70,4.0192
-120.2,42.0,71,3.9908
-120.2,42.0,72,3.9727
-120.2,42.0,73,3.9647
-120.2,42.0,74,3.9616
-120.2,42.0,75,3.9626
-120.2,42.0,76,3.966
-120.2,42.0,77,3.9685
-120.2,42.0,78,3.9681
-120.2,42.0,79,3.9651
-120.2,42.0,80,3.9581
-120.2,42.2,41,4.1355
-120.2,42.2,42,4.1479
-120.2,42.2,43,4.1599
-120.2,42.2,44,4.1732
-120.2,42.2,45,4.1869
-120.2,42.2,46,4.2046
-120.2,42.2,47,4.2262
-120.2,42.2,48,4.2527
-120.2,42.2,49,4.2823
-120.2,42.2,50,4.3109
-120.2,42.2,51,4.3334
-120.2,42.2,52,4.3473
-120.2,42.2,53,4.3513
-120.2,42.2,54,4.3467
-120.2,42.2,55,4.335
-120.2,42.2,56,4.3179
-120.2,42.2,57,4.299
-120.2,42.2,58,4.2809
-120.2,42.2,59,4.2669
-120.2,42.2,60,4.2577
-120.2,42.2,61,4.2515
-120.2,42.2,62,4.2499
-120.2,42.2,63,4.247
-120.2,42.2,64,4.2358
-120.2,42.2,65,4.2134
-120.2,42.2,66,4.1783
-120.2,42.2,67,4.1314
-120.2,42.2,68,4.0759
-120.2,42.2,69,4.0171
-120.2,42.2,70,3.9609
-120.2,42.2,71,3.9112
-120.2,42.2,72,3.873
-120.2,42.2,73,3.847
-120.2,42.2,74,3.8341
-120.2,42.2,75,3.8362
-120.2,42.2,76,3.8526
-120.2,42.2,77,3.8794
-120.2,42.2,78,3.9122
-120.2,42.2,79,3.9453
-120.2,42.2,80,3.9726
-120.2,42.6,41,4.2441
-120.2,42.6,42,4.3255
-120.2,42.6,43,4.4139
-120.2,42.6,44,4.4997
-120.2,42.6,45,4.5824
-120.2,42.6,46,4.6619
-120.2,42.6,47,4.7323
-120.2,42.6,48,4.7906
-120.2,42.6,49,4.8388
-120.2,42.6,50,4.8753
-120.2,42.6,51,4.9003
-120.2,42.6,52,4.9148
-120.2,42.6,53,4.9207
-120.2,42.6,54,4.9192
